ParticipantID;Group;Prä;Post;FU
1148;KG;4,07142857142857;3,78571428571429;3,92857142857143
1149;KG;3,00000000000000;2,42857142857143;3,85714285714286
1153;KG;3,35714285714286;3,00000000000000;3,50000000000000
1154;KG;2,00000000000000;2,14285714285714;1,64285714285714
1158;KG;2,85714285714286;NA;2,78571428571429
1202;KG;3,92857142857143;3,64285714285714;3,21428571428571
1203;KG;3,00000000000000;3,00000000000000;3,00000000000000
1206;KG;3,64285714285714;2,85714285714286;2,50000000000000
1207;KG;2,92857142857143;3,35714285714286;2,42857142857143
1209;KG;3,78571428571429;3,64285714285714;3,35714285714286
1210;KG;1,92857142857143;2,85714285714286;NA
